MMSI,Ship Name,Global Ship Type,Ship Type,Ship Type Specific,Lenght,Breadth,Max Speed,Average Speed
238909140,SKODA,FISHING,FISHING,FISHING VESSEL,30.9,7.62,9.8,7.3
238921940,ORKA,FISHING,FISHING,TRAWLER,26.0,7.0,9.6,7.4
238923240,NONA MILKA,FISHING,FISHING,FISHING,29.0,8.0,8.5,7.4
238928540,BIOS DVA,SPECIAL CRAFT,SPECIAL CRAFT,RESEARCH/SURVEY VESSEL,36.6,8.0,10.7,10.0
238932240,RTOP 41 VUKOVAR,SPECIAL CRAFT,MILITARY OPS,MILITARY OPS,45.0,9.0,19.1,15.9
238934240,DINIVA,FISHING,FISHING,FISHING VESSEL,25.4,7.0,10.5,6.9
238936140,BIOKOVO,PASSENGER,PASSENGER,RO-RO/PASSENGER SHIP,87.6,18.0,11.5,11.4
238955240,MARKO,FISHING,FISHING,FISHING,8.0,3.0,9.4,7.7
238956240,SVETAC,OTHER,OTHER,OTHER,17.0,5.0,9.1,7.8
238957340,JADRAN 3,FISHING,FISHING,FISHING,22.0,4.0,8.6,7.6
238957740,ROZANA,FISHING,FISHING,FISHING,17.0,4.0,0.0,7.4
238958340,O,PASSENGER,PASSENGER,PASSENGER SHIP,45.02,10.0,0.0,5.9
238963140,ALBATROS MALI,FISHING,FISHING,FISHING,18.0,4.0,9.1,8.3
238963340,EVA,FISHING,FISHING,FISHING,24.0,80.0,8.5,7.9
238972140,OTAC NIKO,OTHER,OTHER,OTHER,16.0,4.0,7.8,7.2
238972240,POLUS,FISHING,FISHING,FISHING,16.0,4.0,8.7,6.8
238976810,FAUST VRANCIC,SEARCH AND RESCUE,SAR,SAR,55.0,11.0,13.2,11.6
238976910,DBM 81,SPECIAL CRAFT,MILITARY OPS,MILITARY OPS,49.0,10.0,11.2,10.0
238982710,PLOVPUT 6,OTHER,OTHER,OTHER,12.0,4.0,18.9,16.8
238983610,MAKARSKI JADRAN,FISHING,FISHING,TRAWLER,32.69,7.21,0.0,7.6
238984210,BIBE,FISHING,FISHING,FISHING VESSEL,35.16,7.62,8.6,8.1
238984610,MALI PORAT,FISHING,FISHING,FISHING,21.0,5.0,15.8,7.1
238987540,KNEZAK,FISHING,FISHING,FISHING,19.0,5.0,7.6,7.0
238987940,NEBESKI,FISHING,FISHING,FISHING VESSEL,24.78,18.0,9.1,5.9
238988040,BELI,FISHING,FISHING,FISHING VESSEL,24.78,7.0,9.2,6.9
238989740,KUN DVA,FISHING,FISHING,TRAWLER,25.45,7.0,0.0,7.8
238990110,GIRA 1,FISHING,FISHING,FISHING,32.0,7.0,9.5,8.6
238991940,JADRAN,PASSENGER,PASSENGER,RO-RO/PASSENGER SHIP,87.0,17.0,10.5,10.0
238993240,TULJAN DVA,FISHING,FISHING,FISHING VESSEL,31.6,8.23,9.9,8.9
238997540,JADRAN1,OTHER,OTHER,OTHER,26.0,7.0,10.0,8.0
239806000,HELLENIC SPIRIT,PASSENGER,PASSENGER,RO-RO/PASSENGER SHIP,204.0,26.13,26.8,25.3
239918000,SUPERFAST XI,PASSENGER,PASSENGER,RO-RO/PASSENGER SHIP,199.0,25.0,28.4,26.9
240025700,CHRISTOS XL,TUG,TUG,TUG,28.42,8.5,7.0,6.9
240183000,EMIR,PASSENGER,PASSENGER,PASSENGER SHIP,80.49,11.6,0.0,6.3
240252800,ADLER SUPREMA,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,23.0,6.0,0.0,10.6
240313300,SPEED CAT 1,HIGH-SPEED CRAFT,HIGH-SPEED CRAFT,HIGH SPEED CRAFT,42.8,10.6,30.4,28.1
240544000,SEAVEN GLORY,CARGO,CARGO,CEMENT CARRIER,123.5,19.6,11.8,11.0
240597000,ANDROMEDA,TANKER,TANKER,OIL/CHEMICAL TANKER,182.55,27.34,14.6,11.1
240771000,PEGASUS,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,52.25,9.3,13.1,11.2
241213000,IPANEMAS,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,45.0,8.0,21.8,14.8
241320000,SERENITY,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,69.1,13.8,12.0,8.5
241460000,OURANOS,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,50.0,9.0,13.4,12.6
241499000,PARVATI,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,38.28,8.65,12.0,10.1
241629000,EVIACEMENT III,CARGO,CARGO,CEMENT CARRIER,117.0,16.41,12.2,8.6
244014000,HEERENGRACHT,CARGO,CARGO,GENERAL CARGO,138.11,21.36,15.9,14.5
244030000,HUDSONGRACHT,CARGO,CARGO,GENERAL CARGO,138.55,21.34,14.2,7.5
244126000,KEIZERSBORG,SPECIAL CRAFT,SPECIAL CRAFT,MULTI PURPOSE OFFSHORE VESSEL,79.2,18.96,11.1,6.0
244128000,WESTERDAM,PASSENGER,PASSENGER,PASSENGER SHIP,285.3,32.2,22.0,18.4
244140039,FIRST DAY,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,50.28,13.65,0.0,11.7
244291000,COASTAL AURORA,TUG,TUG,TUG,27.27,11.5,0.0,5.2
244327000,HONDIUS,PASSENGER,PASSENGER,PASSENGER SHIP,108.0,18.0,13.6,12.8
244366000,BEAUMAIDEN,CARGO,CARGO,GENERAL CARGO,88.6,12.8,14.8,8.2
244584000,STATENGRACHT,CARGO,CARGO,GENERAL CARGO,172.6,25.65,18.2,9.6
244617000,STROOMBANK,CARGO,CARGO,CARGO/CONTAINERSHIP,89.95,14.4,11.3,9.4
244620052,EENDRACHT,CARGO,CARGO,GENERAL CARGO,104.59,15.6,13.2,10.4
244630729,LENNEBORG,CARGO,CARGO,GENERAL CARGO,108.17,18.21,11.1,6.0
244700095,BREEHORN,SPECIAL CRAFT,PORT TENDER,PORT TENDER,8.0,3.0,0.0,8.9
244717000,STARDUST,SAILING VESSEL,SAILING VESSEL,SAILING VESSEL,22.7,5.4,6.3,5.6
244750595,PLANTIJNGRACHT,CARGO,CARGO,GENERAL CARGO,168.6,25.2,16.4,12.0
244770437,MY LOYALTY,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,49.8,8.95,13.9,12.3
244770782,LIONHEART,SAILING VESSEL,SAILING VESSEL,SAILING VESSEL,43.4,6.55,10.4,8.7
244790047,EEMSLIFT HENDRIKA,CARGO,CARGO,CARGO/CONTAINERSHIP,111.6,16.8,15.9,6.8
244790234,CLAIRE,CARGO,CARGO,GENERAL CARGO,89.95,14.4,12.8,7.8
244790314,MANISA EMY,CARGO,CARGO,GENERAL CARGO,108.24,18.21,15.5,9.0
244790607,EEMSLIFT NELLI,CARGO,CARGO,CARGO/CONTAINERSHIP,111.6,16.8,15.0,12.9
244790608,EEMSLIFT ELLEN,CARGO,CARGO,CARGO/CONTAINERSHIP,111.6,16.8,16.4,11.3
244810054,JUMBO KINETIC,CARGO,CARGO,HEAVY LOAD CARRIER,152.0,28.0,17.4,6.3
244820422,FAIRMASTER,CARGO,CARGO,HEAVY LOAD CARRIER,152.0,28.0,18.8,10.6
244830547,KONINGSDAM,PASSENGER,PASSENGER,PASSENGER SHIP,296.0,38.0,22.0,17.6
244860000,VALERIE,CARGO,CARGO,GENERAL CARGO,89.95,14.0,12.7,9.8
244870810,TT MY NOOR,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,10.0,4.0,17.1,7.0
244870962,IUVENTA,OTHER,OTHER,OTHER,33.0,6.7,5.6,5.6
244942000,HNLMS EVERTSEN,SPECIAL CRAFT,MILITARY OPS,MILITARY OPS,144.0,17.0,19.4,10.5
245026000,RIVER THAMES,SPECIAL CRAFT,DREDGER,HOPPER DREDGER,79.95,15.0,0.0,8.4
245039000,KOOLE 31,TUG,TUG,TUG,30.5,10.5,9.6,5.6
245118000,PACIFIC DAWN,CARGO,CARGO,GENERAL CARGO,105.1,15.6,16.3,13.5
245127000,RPA 6,OTHER,OTHER,"INLAND, SERVICE VESSEL, POLICE PATROL",25.2,5.8,0.0,6.9
245304000,ZUIDERDAM,PASSENGER,PASSENGER,PASSENGER SHIP,285.42,32.28,19.3,8.1
245417000,OOSTERDAM,PASSENGER,PASSENGER,PASSENGER SHIP,285.24,32.25,19.3,15.9
245539000,HAPPY RANGER,CARGO,CARGO,GENERAL CARGO,138.04,22.94,15.1,11.7
245947000,LINGEDIJK,CARGO,CARGO,GENERAL CARGO,89.95,14.4,12.5,8.1
245955000,DAMGRACHT,CARGO,CARGO,GENERAL CARGO,156.93,22.9,17.4,9.5
245980000,INDUSTRIAL MOMENTUM,CARGO,CARGO,GENERAL CARGO,116.26,17.8,12.3,10.9
246029000,VICTORIABORG,CARGO,CARGO,CARGO/CONTAINERSHIP,132.23,15.87,13.9,11.1
246061000,SAGASBANK,CARGO,CARGO,GENERAL CARGO,89.95,14.4,12.9,7.4
246303000,PROGRESS,CARGO,CARGO,GENERAL CARGO,118.9,13.43,10.2,8.4
246309000,JUMBO JUBILEE,CARGO,CARGO,HEAVY LOAD CARRIER,145.04,26.8,17.3,11.9
246370000,SHERAKHAN,PASSENGER,PASSENGER,PASSENGER SHIP,64.18,12.02,13.0,9.0
246410000,KW1 ART JAN,FISHING,FISHING,FISHING,11.0,4.0,4.0,7.1
246455000,REGGEDIJK,CARGO,CARGO,GENERAL CARGO,89.95,14.4,13.7,9.8
246481000,JUMBO JAVELIN,CARGO,CARGO,HEAVY LOAD CARRIER,145.04,26.82,14.8,8.1
246518000,DEO VOLENTE,CARGO,CARGO,GENERAL CARGO,104.69,15.6,16.1,13.2
246655000,SCHOKLAND,CARGO,CARGO,GENERAL CARGO,89.98,13.75,13.4,11.7
246757000,ATLANTIC,CARGO,CARGO,GENERAL CARGO,104.59,15.6,15.8,12.4
246794000,ESPRIT,CARGO,CARGO,GENERAL CARGO,89.95,14.4,11.9,9.8
246802000,EEMS RIVER,CARGO,CARGO,GENERAL CARGO,89.92,12.5,10.6,9.3
246807000,FRISIAN INO,CARGO,CARGO,GENERAL CARGO,87.5,11.3,11.7,8.9
246854000,HARINGVLIET,CARGO,CARGO,GENERAL CARGO,88.6,12.67,11.0,9.5
247000400,BENIAMINO CARNEVALE,PASSENGER,PASSENGER,RO-RO/PASSENGER SHIP,150.38,23.4,7.5,5.6
247006400,DESTRIERO PRIMO,SPECIAL CRAFT,DREDGER,HOPPER DREDGER,62.4,15.8,9.1,7.4
247038280,TOUCH ME,PASSENGER,PASSENGER,HOUSEBOAT,44.0,8.0,27.9,19.4
247049800,GUGLIELMO G,SPECIAL CRAFT,DREDGER,HOPPER DREDGER,67.0,14.0,17.2,7.3
247064100,HYPSAS,TUG,TUG,TUG,31.0,8.6,9.7,8.5
